上证50 (000016) on 06-17 17:05:51, price= 3000.03, ratio= -1.57%,amount=941910.56 
平安银行(000001) on 07-13 22:17:49, price=14.44, ratio=  0.28%,amount=473740.04 
万科Ａ  (000002) on 07-13 22:17:49, price=15.10, ratio=  3.42%,amount=699464.54 
国农科技(000004) on 07-13 22:17:49, price=29.57, ratio=  0.92%,amount=4429.08 
世纪星源(000005) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
深振业Ａ(000006) on 07-13 22:17:49, price=12.32, ratio=  3.53%,amount=98971.96 
零七股份(000007) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
神州高铁(000008) on 07-13 22:17:49, price=29.26, ratio=  0.00%,amount=98152.19 
中国宝安(000009) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
深华新  (000010) on 07-13 22:17:49, price= 8.14, ratio=  0.00%,amount=884.08 
深物业A (000011) on 07-13 22:17:49, price=10.53, ratio=  4.99%,amount=23198.12 
南玻Ａ  (000012) on 07-13 22:17:49, price=14.61, ratio=  4.36%,amount=176495.10 
沙河股份(000014) on 07-13 22:17:49, price=16.95, ratio=  3.99%,amount=31043.08 
深康佳Ａ(000016) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
深中华A (000017) on 07-13 22:17:49, price=13.59, ratio=  4.70%,amount=26357.89 
中冠A   (000018) on 07-13 22:17:49, price=25.92, ratio=  3.80%,amount=12242.02 
深深宝Ａ(000019) on 07-13 22:17:49, price=13.81, ratio=  5.42%,amount=32443.31 
深华发Ａ(000020) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
深科技  (000021) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
深赤湾Ａ(000022) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
深天地Ａ(000023) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
招商地产(000024) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
特力Ａ  (000025) on 07-13 22:17:49, price=14.62, ratio=  3.69%,amount=7760.99 
飞亚达Ａ(000026) on 07-13 22:17:49, price=12.61, ratio=  2.02%,amount=28481.83 
深圳能源(000027) on 07-13 22:17:49, price= 9.34, ratio=  0.00%,amount=59548.55 
国药一致(000028) on 07-13 22:17:49, price=69.86, ratio=  4.89%,amount=35030.50 
深深房Ａ(000029) on 07-13 22:17:49, price= 9.54, ratio=  4.84%,amount=30665.52 
富奥股份(000030) on 07-13 22:17:49, price=14.61, ratio= 10.10%,amount=92256.74 
中粮地产(000031) on 07-13 22:17:49, price=14.37, ratio=  4.89%,amount=128249.23 
深桑达Ａ(000032) on 07-13 22:17:49, price=14.67, ratio=  0.00%,amount=10067.08 
*ST新都 (000033) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
深信泰丰(000034) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中国天楹(000035) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
华联控股(000036) on 07-13 22:17:49, price= 4.66, ratio=  0.00%,amount=1318.38 
深南电Ａ(000037) on 07-13 22:17:49, price= 9.41, ratio=  4.56%,amount=34359.91 
深大通  (000038) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中集集团(000039) on 07-13 22:17:49, price=24.23, ratio=  6.98%,amount=173653.96 
宝安地产(000040) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中洲控股(000042) on 07-13 22:17:49, price=22.75, ratio=  7.82%,amount=93413.60 
中航地产(000043) on 07-13 22:17:49, price=10.84, ratio=  8.40%,amount=51897.28 
深纺织Ａ(000045) on 07-13 22:17:49, price=12.58, ratio=  8.82%,amount=42647.80 
泛海控股(000046) on 07-13 22:17:49, price=14.64, ratio=  4.72%,amount=82256.25 
康达尔  (000048) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
德赛电池(000049) on 07-13 22:17:49, price=50.79, ratio=  5.81%,amount=66349.76 
深天马Ａ(000050) on 07-13 22:17:49, price=16.83, ratio=  0.00%,amount=2331.99 
方大集团(000055) on 07-13 22:17:49, price=10.27, ratio=  0.00%,amount=1487.28 
深国商  (000056) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
深赛格  (000058) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST华锦 (000059) on 07-13 22:17:49, price= 8.77, ratio=  1.39%,amount=63186.82 
中金岭南(000060) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
农产品  (000061) on 07-13 22:17:49, price=15.32, ratio=  0.00%,amount=76548.84 
深圳华强(000062) on 07-13 22:17:49, price=40.32, ratio=  0.00%,amount=16544.96 
中兴通讯(000063) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
北方国际(000065) on 07-13 22:17:49, price=30.49, ratio=  0.00%,amount=14687.21 
长城电脑(000066) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST华赛 (000068) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
华侨城Ａ(000069) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
特发信息(000070) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
海王生物(000078) on 07-13 22:17:49, price=14.32, ratio=  0.00%,amount=2802.80 
盐田港  (000088) on 07-13 22:17:49, price=11.44, ratio=  5.93%,amount=75824.37 
深圳机场(000089) on 07-13 22:17:49, price= 7.10, ratio=  0.00%,amount=8597.73 
天健集团(000090) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
广聚能源(000096) on 07-13 22:17:49, price=14.78, ratio=  0.54%,amount=28889.86 
中信海直(000099) on 07-13 22:17:49, price=12.98, ratio=  0.00%,amount=1447.50 
TCL     (000100) on 07-13 22:17:49, price= 5.90, ratio=  6.12%,amount=586208.96 
宜华健康(000150) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中成股份(000151) on 07-13 22:17:49, price=21.58, ratio=  5.22%,amount=67944.69 
丰原药业(000153) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST川化 (000155) on 07-13 22:17:49, price= 9.74, ratio=  0.52%,amount=47267.19 
华数传媒(000156) on 07-13 22:17:49, price=33.59, ratio=  0.00%,amount=5520.66 
中联重科(000157) on 07-13 22:17:49, price= 7.17, ratio=  7.34%,amount=298099.48 
常山股份(000158) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
国际实业(000159) on 07-13 22:17:49, price= 8.88, ratio=  4.72%,amount=35470.80 
申万宏源(000166) on 07-13 22:17:49, price=15.83, ratio=  2.99%,amount=463962.95 
沪深300 (000300) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
沪深300 (399300) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00
东方市场(000301) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
美的集团(000333) on 07-13 22:17:49, price=38.09, ratio=  2.15%,amount=295822.79 
潍柴动力(000338) on 07-13 22:17:49, price=27.30, ratio=  5.81%,amount=186928.80 
许继电气(000400) on 07-13 22:17:49, price=22.91, ratio=  7.06%,amount=143156.53 
冀东水泥(000401) on 07-13 22:17:49, price=11.23, ratio=  0.63%,amount=55611.87 
金融街  (000402) on 07-13 22:17:49, price=11.52, ratio=  6.57%,amount=204752.06 
ST生化  (000403) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
华意压缩(000404) on 07-13 22:17:49, price= 8.07, ratio=  4.26%,amount=43099.01 
胜利股份(000407) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
金谷源  (000408) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
山东地矿(000409) on 07-13 22:17:49, price=10.75, ratio=  7.50%,amount=36040.57 
沈阳机床(000410) on 07-13 22:17:49, price=17.89, ratio=  5.24%,amount=146587.46 
英特集团(000411) on 07-13 22:17:49, price=25.09, ratio= 10.00%,amount=17606.30 
东旭光电(000413) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
渤海租赁(000415) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
民生控股(000416) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
合肥百货(000417) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
小天鹅Ａ(000418) on 07-13 22:17:49, price=24.46, ratio=  4.09%,amount=40371.67 
通程控股(000419) on 07-13 22:17:49, price= 7.76, ratio=  1.44%,amount=27106.02 
吉林化纤(000420) on 07-13 22:17:49, price= 8.15, ratio=  5.84%,amount=29580.80 
南京中北(000421) on 07-13 22:17:49, price=11.79, ratio=  9.17%,amount=37893.81 
湖北宜化(000422) on 07-13 22:17:49, price= 8.51, ratio=  4.29%,amount=56478.06 
东阿阿胶(000423) on 07-13 22:17:49, price=51.24, ratio=  3.52%,amount=212272.79 
徐工机械(000425) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
兴业矿业(000426) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
